state,measure_id,change_2016,change_2017,change_2018,change_2019,change_2020,change_2021,change_2022,change_2023
MI,H_COMP_5,2.0,0.0,2.0,0.0,1.0,0.0,-5.0,-5.0
MI,H_COMP_6,0.0,0.0,2.0,0.0,0.0,0.0,-2.0,-2.0
MI,H_COMP_7,1.0,-1.0,2.0,0.0,1.0,0.0,-2.0,-3.0
MI,H_HSP_RATING,1.0,0.0,1.0,0.0,0.0,0.0,-2.0,-5.0
MI,H_QUIET_HSP,1.0,0.0,-2.0,-1.0,1.0,-1.0,2.0,-3.0
MI,H_RECMND,1.0,1.0,0.0,-2.0,1.0,0.0,-2.0,-3.0
MN,H_CLEAN_HSP,1.0,0.0,0.0,1.0,-1.0,1.0,-5.0,-2.0
MN,H_COMP_1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-2.0
MN,H_COMP_2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
MN,H_COMP_3,3.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,-2.0
MN,H_COMP_5,1.0,2.0,-1.0,1.0,1.0,0.0,-2.0,-4.0
MN,H_COMP_6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0
MN,H_COMP_7,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0
MN,H_HSP_RATING,3.0,1.0,0.0,1.0,-1.0,1.0,1.0,-3.0
MN,H_QUIET_HSP,1.0,0.0,-1.0,2.0,1.0,0.0,1.0,-2.0
MN,H_RECMND,2.0,0.0,0.0,1.0,-1.0,1.0,0.0,-2.0
MO,H_CLEAN_HSP,1.0,-1.0,3.0,1.0,-2.0,1.0,-5.0,-1.0
MO,H_COMP_1,0.0,1.0,0.0,-1.0,1.0,1.0,-1.0,-2.0
MO,H_COMP_2,0.0,0.0,0.0,-1.0,-1.0,1.0,-2.0,-1.0
MO,H_COMP_3,0.0,0.0,1.0,1.0,-1.0,1.0,-5.0,-2.0
MO,H_COMP_5,-2.0,-1.0,3.0,-1.0,1.0,0.0,-7.0,0.0
MO,H_COMP_6,0.0,0.0,2.0,-4.0,4.0,0.0,-2.0,-2.0
MO,H_COMP_7,-2.0,0.0,3.0,-1.0,1.0,0.0,-3.0,-1.0
MO,H_HSP_RATING,0.0,0.0,2.0,-2.0,1.0,0.0,-2.0,-2.0
MO,H_QUIET_HSP,1.0,-1.0,0.0,-3.0,0.0,1.0,1.0,0.0
MO,H_RECMND,-2.0,1.0,1.0,-1.0,0.0,0.0,-1.0,-2.0
MS,H_CLEAN_HSP,-1.0,1.0,2.0,0.0,0.0,1.0,-4.0,-1.0
MS,H_COMP_1,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0
MS,H_COMP_2,-2.0,2.0,0.0,-2.0,-1.0,1.0,-2.0,1.0
MS,H_COMP_3,2.0,0.0,4.0,-1.0,-2.0,0.0,-1.0,0.0
MS,H_COMP_5,1.0,-1.0,4.0,-2.0,0.0,0.0,-3.0,0.0
MS,H_COMP_6,2.0,0.0,2.0,-6.0,4.0,0.0,-2.0,0.0
MS,H_COMP_7,-3.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0
MS,H_HSP_RATING,-1.0,2.0,1.0,-3.0,0.0,0.0,1.0,-1.0
MS,H_QUIET_HSP,1.0,2.0,-2.0,-1.0,0.0,1.0,0.0,-2.0
MS,H_RECMND,-1.0,1.0,1.0,-1.0,-2.0,0.0,2.0,-2.0
MT,H_CLEAN_HSP,4.0,0.0,-2.0,1.0,0.0,0.0,-4.0,-3.0
MT,H_COMP_1,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,1.0
MT,H_COMP_2,2.0,-3.0,2.0,-2.0,1.0,0.0,0.0,1.0
MT,H_COMP_3,6.0,-1.0,0.0,3.0,-1.0,0.0,-2.0,1.0
