release_period,state,measure_id,bottom-box_percentage,middle-box_percentage,top-box_percentage,state_name,region,nps
2018,AR,H_RECMND,5.0,24.0,71.0,Arkansas,West South Central,66.0
2018,AZ,H_RECMND,6.0,24.0,70.0,Arizona,Mountain,64.0
2018,CA,H_RECMND,6.0,24.0,70.0,California,Pacific,64.0
2018,CO,H_RECMND,4.0,20.0,76.0,Colorado,Mountain,72.0
2018,CT,H_RECMND,5.0,23.0,72.0,Connecticut,New England,67.0
2018,DC,H_RECMND,11.0,26.0,63.0,District of Columbia,South Atlantic,52.0
2018,DE,H_RECMND,5.0,24.0,71.0,Delaware,South Atlantic,66.0
2018,FL,H_RECMND,7.0,23.0,70.0,Florida,South Atlantic,63.0
2018,GA,H_RECMND,5.0,25.0,70.0,Georgia,South Atlantic,65.0
2018,HI,H_RECMND,5.0,23.0,72.0,Hawaii,Pacific,67.0
2018,IA,H_RECMND,3.0,21.0,76.0,Iowa,West North Central,73.0
2018,ID,H_RECMND,4.0,20.0,76.0,Idaho,Mountain,72.0
2018,IL,H_RECMND,5.0,25.0,70.0,Illinois,East North Central,65.0
2018,IN,H_RECMND,4.0,22.0,74.0,Indiana,East North Central,70.0
2018,KS,H_RECMND,3.0,20.0,77.0,Kansas,West North Central,74.0
2018,KY,H_RECMND,5.0,24.0,71.0,Kentucky,East South Central,66.0
2018,LA,H_RECMND,4.0,20.0,76.0,Louisiana,West South Central,72.0
2018,MA,H_RECMND,5.0,21.0,74.0,Massachusetts,New England,69.0
2018,MD,H_RECMND,7.0,26.0,67.0,Maryland,South Atlantic,60.0
2018,ME,H_RECMND,3.0,22.0,75.0,Maine,New England,72.0
2018,MI,H_RECMND,4.0,24.0,72.0,Michigan,East North Central,68.0
2018,MN,H_RECMND,3.0,21.0,76.0,Minnesota,West North Central,73.0
2018,MO,H_RECMND,5.0,24.0,71.0,Missouri,West North Central,66.0
2018,MS,H_RECMND,5.0,24.0,71.0,Mississippi,East South Central,66.0
2018,MT,H_RECMND,5.0,25.0,70.0,Montana,Mountain,65.0
2018,NC,H_RECMND,5.0,24.0,71.0,North Carolina,South Atlantic,66.0
2018,ND,H_RECMND,3.0,22.0,75.0,North Dakota,West North Central,72.0
2018,NE,H_RECMND,2.0,19.0,79.0,Nebraska,West North Central,77.0
2018,NH,H_RECMND,4.0,22.0,74.0,New Hampshire,New England,70.0
2018,NJ,H_RECMND,7.0,26.0,67.0,New Jersey,Mid-Atlantic,60.0
2018,NM,H_RECMND,6.0,31.0,63.0,New Mexico,Mountain,57.0
2018,NV,H_RECMND,8.0,24.0,68.0,Nevada,Mountain,60.0
2018,NY,H_RECMND,7.0,26.0,67.0,New York,Mid-Atlantic,60.0
2018,OH,H_RECMND,4.0,24.0,72.0,Ohio,East North Central,68.0
2018,OK,H_RECMND,5.0,21.0,74.0,Oklahoma,West South Central,69.0
2018,OR,H_RECMND,4.0,22.0,74.0,Oregon,Pacific,70.0
2018,PA,H_RECMND,5.0,25.0,70.0,Pennsylvania,Mid-Atlantic,65.0
2018,RI,H_RECMND,5.0,21.0,74.0,Rhode Island,New England,69.0
2018,SC,H_RECMND,5.0,24.0,71.0,South Carolina,South Atlantic,66.0
2018,SD,H_RECMND,2.0,20.0,78.0,South Dakota,West North Central,76.0
2018,TN,H_RECMND,5.0,24.0,71.0,Tennessee,East South Central,66.0
2018,TX,H_RECMND,5.0,19.0,76.0,Texas,West South Central,71.0
2018,UT,H_RECMND,4.0,19.0,77.0,Utah,Mountain,73.0
2018,VA,H_RECMND,5.0,25.0,70.0,Virginia,South Atlantic,65.0
2018,VT,H_RECMND,3.0,24.0,73.0,Vermont,New England,70.0
2018,WA,H_RECMND,5.0,23.0,72.0,Washington,Pacific,67.0
2018,WI,H_RECMND,3.0,21.0,76.0,Wisconsin,East North Central,73.0
2018,WV,H_RECMND,4.0,25.0,71.0,West Virginia,South Atlantic,67.0
2018,WY,H_RECMND,5.0,26.0,69.0,Wyoming,Mountain,64.0
2019,AK,H_RECMND,4.0,30.0,66.0,Alaska,Pacific,62.0
2019,AL,H_RECMND,5.0,24.0,71.0,Alabama,East South Central,66.0
2019,AR,H_RECMND,5.0,24.0,71.0,Arkansas,West South Central,66.0
2019,AZ,H_RECMND,6.0,24.0,70.0,Arizona,Mountain,64.0
2019,CA,H_RECMND,7.0,23.0,70.0,California,Pacific,63.0
2019,CO,H_RECMND,5.0,20.0,75.0,Colorado,Mountain,70.0
2019,CT,H_RECMND,5.0,23.0,72.0,Connecticut,New England,67.0
2019,DC,H_RECMND,11.0,28.0,61.0,District of Columbia,South Atlantic,50.0
2019,DE,H_RECMND,4.0,27.0,69.0,Delaware,South Atlantic,65.0
2019,FL,H_RECMND,7.0,24.0,69.0,Florida,South Atlantic,62.0
2019,GA,H_RECMND,6.0,24.0,70.0,Georgia,South Atlantic,64.0
2019,HI,H_RECMND,5.0,23.0,72.0,Hawaii,Pacific,67.0
2019,IA,H_RECMND,2.0,22.0,76.0,Iowa,West North Central,74.0
2019,ID,H_RECMND,3.0,21.0,76.0,Idaho,Mountain,73.0
2019,IL,H_RECMND,5.0,25.0,70.0,Illinois,East North Central,65.0
2019,IN,H_RECMND,4.0,23.0,73.0,Indiana,East North Central,69.0
2019,KS,H_RECMND,3.0,20.0,77.0,Kansas,West North Central,74.0
2019,KY,H_RECMND,5.0,25.0,70.0,Kentucky,East South Central,65.0
2019,LA,H_RECMND,4.0,20.0,76.0,Louisiana,West South Central,72.0
2019,MA,H_RECMND,5.0,22.0,73.0,Massachusetts,New England,68.0
2019,MD,H_RECMND,8.0,27.0,65.0,Maryland,South Atlantic,57.0
2019,ME,H_RECMND,4.0,21.0,75.0,Maine,New England,71.0
2019,MI,H_RECMND,5.0,24.0,71.0,Michigan,East North Central,66.0
2019,MN,H_RECMND,3.0,20.0,77.0,Minnesota,West North Central,74.0
2019,MO,H_RECMND,5.0,25.0,70.0,Missouri,West North Central,65.0
2019,MS,H_RECMND,6.0,23.0,71.0,Mississippi,East South Central,65.0
2019,MT,H_RECMND,4.0,26.0,70.0,Montana,Mountain,66.0
2019,NC,H_RECMND,6.0,24.0,70.0,North Carolina,South Atlantic,64.0
2019,ND,H_RECMND,3.0,21.0,76.0,North Dakota,West North Central,73.0
2019,NE,H_RECMND,3.0,20.0,77.0,Nebraska,West North Central,74.0
2019,NH,H_RECMND,5.0,22.0,73.0,New Hampshire,New England,68.0
2019,NJ,H_RECMND,7.0,27.0,66.0,New Jersey,Mid-Atlantic,59.0
2019,NM,H_RECMND,5.0,27.0,68.0,New Mexico,Mountain,63.0
2019,NV,H_RECMND,9.0,25.0,66.0,Nevada,Mountain,57.0
2019,NY,H_RECMND,7.0,27.0,66.0,New York,Mid-Atlantic,59.0
2019,OH,H_RECMND,4.0,25.0,71.0,Ohio,East North Central,67.0
2019,OK,H_RECMND,5.0,23.0,72.0,Oklahoma,West South Central,67.0
2019,OR,H_RECMND,4.0,22.0,74.0,Oregon,Pacific,70.0
2019,PA,H_RECMND,5.0,25.0,70.0,Pennsylvania,Mid-Atlantic,65.0
2019,RI,H_RECMND,5.0,22.0,73.0,Rhode Island,New England,68.0
2019,SC,H_RECMND,6.0,23.0,71.0,South Carolina,South Atlantic,65.0
2019,SD,H_RECMND,3.0,20.0,77.0,South Dakota,West North Central,74.0
2019,TN,H_RECMND,5.0,23.0,72.0,Tennessee,East South Central,67.0
2019,TX,H_RECMND,5.0,21.0,74.0,Texas,West South Central,69.0
2019,UT,H_RECMND,4.0,19.0,77.0,Utah,Mountain,73.0
2019,VA,H_RECMND,5.0,25.0,70.0,Virginia,South Atlantic,65.0
2019,VT,H_RECMND,3.0,23.0,74.0,Vermont,New England,71.0
2019,WA,H_RECMND,5.0,23.0,72.0,Washington,Pacific,67.0
2019,WI,H_RECMND,3.0,21.0,76.0,Wisconsin,East North Central,73.0
2019,WV,H_RECMND,5.0,25.0,70.0,West Virginia,South Atlantic,65.0
2019,WY,H_RECMND,4.0,26.0,70.0,Wyoming,Mountain,66.0
2020,AK,H_RECMND,5.0,21.0,74.0,Alaska,Pacific,69.0
2020,AL,H_RECMND,6.0,24.0,70.0,Alabama,East South Central,64.0
2020,AR,H_RECMND,5.0,24.0,71.0,Arkansas,West South Central,66.0
2020,AZ,H_RECMND,6.0,25.0,69.0,Arizona,Mountain,63.0
2020,CA,H_RECMND,6.0,23.0,71.0,California,Pacific,65.0
2020,CO,H_RECMND,4.0,20.0,76.0,Colorado,Mountain,72.0
2020,CT,H_RECMND,5.0,22.0,73.0,Connecticut,New England,68.0
2020,DC,H_RECMND,12.0,27.0,61.0,District of Columbia,South Atlantic,49.0
